公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
2357,華碩,1912570,2,上市,115,1684269,90078729,86156490,-3922239,-77332235,69813157
2359,所羅門,23502,2,上市,115,-115418,2213779,2392595,178816,285057,-14325
2360,致茂,23777,2,上市,115,-2118936,6222160,9393875,3171715,5353931,-87057
2362,藍天,75733,2,上市,115,-716480,8434585,8578975,144390,-2800329,3585466
2363,矽統,19752,2,上市,115,-148820,2704738,2488111,-216627,466656,-554215
2364,倫飛,-874,2,上市,115,-16516,501707,634935,133228,116918,33700
2365,昆盈,20423,2,上市,115,89008,1135920,1269949,134029,37626,-13028
2367,燿華,82375,2,上市,115,-2078112,906024,628022,-278002,-408151,2125886
2368,金像電,577638,2,上市,115,-4090061,18114483,24152829,6038346,9003395,547374
2369,菱生,5064,2,上市,115,-254200,1546811,1247355,-299456,-6683,-43637
2371,大同,-62776,2,上市,115,-195583,24399966,19081108,-5318858,-1624661,-3435838
2373,震旦行,94126,2,上市,115,-54622,2739060,2386365,-352695,292407,-684606
2374,佳能,71528,2,上市,115,-328879,1729929,2386609,656680,-18493,932524
2375,凱美,116112,2,上市,115,700187,1593072,1909283,316211,217304,-717392
2376,技嘉,694791,2,上市,115,-1794986,40321147,33085558,-7235589,-79384238,73248844
2377,微星,516037,2,上市,115,-10389851,31086286,16428636,-14657650,-136262,-4647574
2379,瑞昱,-25277,2,上市,115,-10416756,13065867,6629743,-6436124,10935109,-6929200
2380,虹光,44575,2,上市,115,-49312,561806,377381,-184425,-165892,-13796
2382,廣達,3467995,2,上市,115,-56268910,178309881,268997147,90687266,45928980,97559201
2383,台光電,734456,2,上市,115,-10851462,20007816,22567762,2559946,5044825,7632127
2385,群光,1626609,2,上市,115,1374337,21359642,29741277,8381635,536576,4844113
2387,精元,127847,2,上市,115,-706921,4243529,4165312,-78217,438250,62607
2388,威盛,162607,2,上市,115,-1306254,13564159,12711506,-852653,311956,-20962
2390,云辰,4055,2,上市,115,-19493,388068,306856,-81212,-56617,-9157
2392,正崴,-155293,2,上市,115,13100552,19799074,28242332,8443258,2856242,-7358243
2393,億光,195060,2,上市,115,1082675,3945108,4971205,1026097,-566782,315144
2395,研華,62220,2,上市,115,-1662077,11317279,12749178,1431899,2666312,365444
2397,友通,30934,2,上市,115,-238772,2403301,2676131,272830,-580293,1060961
2399,映泰,274,2,上市,115,135587,836475,914752,78277,-117584,60000
2401,凌陽,4079,2,上市,115,6519,4746631,4527161,-219470,-356118,126050
2402,毅嘉,250305,2,上市,115,-118957,2711646,3157204,445558,66714,247496
2404,漢唐,145139,2,上市,115,-964179,29928325,41202242,11273917,12163976,-71019
2405,輔信,113,2,上市,115,-126657,869340,618196,-251144,-278000,153400
2406,國碩,4154,2,上市,115,-342753,1570391,1171466,-398925,-666825,606499
2408,南亞科,1309084,2,上市,115,-7056596,58074065,217602535,159528470,87407707,77868275
2409,友達,2115789,2,上市,115,-2059522,55616637,53791751,-1824886,6877414,-8758567
2412,中華電,32951,2,上市,115,-25359165,36944206,42222351,5278145,31741601,-1137242
