備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
因客戶產線升級需求,6739,竹陞科技,1150911,7.3446532315315185,138046,96.72751410554265,75325,148185,其他電子業,97.06337201665967,472038,930214,11508
-,6741,91APP*-KY,1150911,-2.087308125921429,184496,30.42489440814411,138505,180645,數位雲端,32.137410917149566,1108238,1464397,11508
-,6751,智聯服務,1150911,-2.8124527939136765,145638,25.65650467853909,112642,141542,資訊服務業,-13.963946624156803,1324869,1139865,11508
-,6752,叡揚,1150911,-1.6073536852757633,177870,11.398891173306684,157103,175011,資訊服務業,5.66311469338028,1268966,1340829,11508
-,6761,穩得,1150911,-9.135733419681493,203826,20.718424706196757,153419,185205,電子零組件業,-1.9651795398673806,1397684,1370217,11508
-,6762,達亞,1150911,0.7332846950005565,80869,35.474214631388136,60131,81462,生技醫療業,5.172876909142018,480255,505098,11508
-,6763,綠界科技*,1150911,-0.7842788885575233,157597,14.910488564877419,136072,156361,數位雲端,13.083138859381975,1104261,1248733,11508
-,6767,台微醫,1150911,10.01083088349064,25852,-2.184006878761823,29075,28440,生技醫療業,-1.4379114135892,224075,220853,11508
無,6785,昱展新藥,1150911,,0,,0,0,生技醫療業,19.71268954509178,1253,1500,11508
-,6788,華景電,1150911,-14.803158378476235,287236,20.381338423092817,203284,244716,半導體業,18.487334985269865,1653413,1959085,11508
-,6791,虎門科技,1150911,-4.014047795428979,72894,2.593879675655068,68199,69968,資訊服務業,8.643752336513991,500211,543448,11508
-,6803,崑鼎,1150911,-0.894091137581102,857407,-7.064587924557192,914335,849741,綠能環保,-0.22583306357748803,6431742,6417217,11508
-,6804,明係,1150911,-7.812858870906001,130618,-2.743720216460706,123810,120413,運動休閒,5.218009960361825,983900,1035240,11508
營收成長主要受惠於既有客戶訂單金額增加及子公司新增專案訂單,6811,宏碁資訊,1150911,4.300469600727975,1122017,77.11195291418402,660751,1170269,數位雲端,25.852463373182637,6528345,8216083,11508
-,6821,聯寶,1150911,-31.791304347826088,48875,-31.633238997580083,48762,33337,電子零組件業,-10.209048484165887,408422,366726,11508
-,6823,濾能,1150911,4.635408208245366,43103,-30.751278232431023,65129,45101,半導體業,1.597784080204891,392794,399070,11508
客戶需求增加,6829,千附精密,1150911,35.02496708319877,201265,56.51918491470172,173626,271758,半導體業,42.253488229253804,1155959,1644392,11508
-,6840,東研信超,1150911,-6.876866617441233,90739,10.8023760506681,76261,84499,其他電子業,12.572661982640753,590233,664441,11508
新增專案營收增加,6841,長佳智能,1150911,33.862593374200245,29853,86.01685053297956,21483,39962,生技醫療業,13.138320698040337,209730,237285,11508
-,6843,進典,1150911,-5.566741120583886,63574,-17.459509995325433,72734,60035,電機機械,-4.767790175649348,519444,494678,11508
115/7/1取得合躍60%股權，屬共同控制下組織重整，視為自始取得，故重編去年比較期單月及累計營收數。,6844,諾貝兒,1150911,7.799718782777556,307947,0.20495823862693072,331287,331966,生技醫療業,-1.0715546446089703,2543874,2516615,11508
-,6846,綠茵,1150911,2.6338229852139077,62153,-11.285724219456228,71905,63790,食品工業,-11.579378903964182,587864,519793,11508
客戶需求增加,6855,數泓科,1150911,-14.555873925501432,73290,64.65607909129155,38032,62622,其他電子業,2.8021998234255445,434944,447132,11508
-,6856,鑫傳,1150911,12.283204862140527,53968,1.1062168385223745,59934,60597,文化創意業,-0.03977174476915096,462640,462456,11508
-,6859,伯特光,1150911,-3.3569291396044663,54812,-10.459770114942529,59160,52972,光電業,-37.76595821268594,694517,432226,11508
主係受營運轉型規劃影響，降低一次性勞務收入占比，致本期營業收入及累計營業收入較去年同期減少。,6865,偉康科技,1150911,-18.994313079916193,16705,-56.55998202304902,31151,13532,數位雲端,-50.007886705757294,291630,145792,11508
-,6870,騰雲,1150911,5.25325214503183,90325,34.13756613756614,70875,95070,數位雲端,45.11216629457181,455529,661028,11508
本月係勞務收入減少；本年主係銷售醫療器材之收入增加所致,6872,浩宇生醫,1150911,7.169811320754717,795,-65.33767290480066,2458,852,生技醫療業,196.97280656747049,7796,23152,11508
客戶需求調整,6874,倍力,1150911,-8.911919745884678,117427,182.4825036313218,37865,106962,資訊服務業,55.013554145556135,1013712,1571391,11508
本年累計營業收入較去年同期減少，主要係營收發生時點不同所致。另自115年7月起新增子公司之銷售收入。,6875,國邑*,1150911,-98.79032258064517,248,,0,3,生技醫療業,-89.61520866161744,19673,2043,11508
係因出貨量增加所致,6877,鏵友益,1150911,-1.479178948496704,55977,140.17507185785212,22962,55149,其他電子業,-30.69083369778253,308685,213947,11508
-,6881,潤德,1150911,10.7578273974288,162570,-15.613825424721734,213375,180059,其他,-5.15141510812345,1608393,1525538,11508
115年8月份營收較去年同期增長，主係拓展海外市場所致。,6884,海柏特,1150911,5.990381914789955,174463,101.21437665262951,91899,184914,資訊服務業,38.70098326426692,750968,1041600,11508
因應客戶訂單需求，電解設備與耗材之銷售增加，且本年度納入新事業體，營運範疇擴大，以上使本月及本年累計營收較去年同期成長。,6894,衛司特,1150911,-1.128038669869057,199018,67.83490557991163,117242,196773,綠能環保,66.77036390625503,900699,1502099,11508
-,6895,宏碩系統,1150911,8.002657132250942,51183,-39.511090198824775,91387,55279,半導體業,-32.89364471424152,468665,314504,11508
